damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
1,44.0,3,0,0,0,0,0,0,0,1,1,4,2,8,7,5,9,10,42,7,7,13,5,10,5,4,4,6,8,3,3,3,5,5,4,4,6,11,18,44,42.1784,0.5
1,33.5,0,1,1,0,0,0,0,0,2,0,6,2,6,6,6,10,10,230,8,8,13,5,9,4,6,6,10,9,2,2,8,9,4,4,6,8,15,7,58,6.8027999999999995,0.3
1,36.0,0,1,1,0,0,0,0,0,2,0,6,2,6,6,6,10,8,190,8,8,12,6,8,6,6,6,12,14,2,2,2,4,6,6,6,8,12,15,28,16.6329,0.3
6,37.0,0,2,0,0,0,0,0,0,1,1,9,2,7,7,4,10,12,80,8,8,13,5,9,4,7,7,8,10,2,2,5,7,4,3,6,8,15,4,45,387.67939999999993,3.0
1,42.6,0,1,1,0,0,0,0,0,2,0,4,2,6,6,4,10,10,218,8,8,14,4,10,2,6,4,12,16,2,2,8,10,4,4,6,8,10,2,40,1.9567,0.5
1,44.0,3,0,0,0,0,0,0,0,1,1,12,2,4,8,18,10,12,162,8,8,14,4,10,2,10,12,12,18,2,2,2,4,4,4,8,10,10,8,30,22.7706,0.5
1,19.0,0,1,1,0,0,0,0,0,2,0,12,2,8,7,4,10,11,83,7,7,13,5,8,2,12,12,4,6,3,2,8,10,5,5,8,10,2,26,57,1.5293999999999999,0.3
5,42.0,0,2,0,0,0,0,0,0,1,1,12,2,7,6,5,10,12,204,7,7,12,4,9,3,9,12,12,18,2,2,7,9,6,7,8,10,11,29,28,214.21249999999998,3.0
2,43.0,0,1,1,0,1,0,0,0,3,1,4,2,6,7,5,10,12,109,8,6,14,5,9,3,5,5,11,16,2,2,7,9,4,4,6,8,15,13,44,15.432300000000001,2.0
1,35.0,0,0,3,0,0,0,0,0,1,0,11,2,8,6,5,10,10,317,8,8,14,4,10,4,8,6,11,16,2,2,5,7,4,4,6,8,19,2,66,9.9589,0.3
5,40.0,0,0,3,0,0,0,0,0,1,1,11,3,5,6,5,10,12,121,7,7,12,3,10,3,9,9,12,17,2,2,4,6,5,4,8,10,10,20,36,383.0772,3.0
5,39.0,0,2,0,0,0,0,0,0,1,0,6,2,7,7,4,10,11,48,8,8,12,1,12,3,6,6,10,7,2,2,4,6,5,4,7,9,8,8,25,16.978900000000003,3.0
